text{ key = "inventory.caption.item.apple_pie_counter.1", value = "Apple Pie" }
text{ key = "inventory.caption.item.balai_counter.1", value = "Brooms" }
text{ key = "inventory.caption.item.bocal_epice_counter.1", value = "Spice jars" }
text{ key = "inventory.caption.item.bombs_counter.1", value = "Bombs" }
text{ key = "inventory.caption.item.bone_key.1", value = "Bone Key" }
text{ key = "inventory.caption.item.bottle_1.1", value = "Magic Bottle$(Empty)" }
text{ key = "inventory.caption.item.bottle_1.2", value = "Magic Bottle$(Water)" }
text{ key = "inventory.caption.item.bottle_1.3", value = "Magic Bottle$(Red Potion)" }
text{ key = "inventory.caption.item.bottle_1.4", value = "Magic Bottle$(Green Potion)" }
text{ key = "inventory.caption.item.bottle_1.5", value = "Magic Bottle$(Blue Potion)" }
text{ key = "inventory.caption.item.bottle_1.6", value = "Magic Bottle$(Fairy)" }
text{ key = "inventory.caption.item.bottle_2.1", value = "Magic Bottle$(Empty)" }
text{ key = "inventory.caption.item.bottle_2.2", value = "Magic Bottle$(Water)" }
text{ key = "inventory.caption.item.bottle_2.3", value = "Magic Bottle$(Red Potion)" }
text{ key = "inventory.caption.item.bottle_2.4", value = "Magic Bottle$(Green Potion)" }
text{ key = "inventory.caption.item.bottle_2.5", value = "Magic Bottle$(Blue Potion)" }
text{ key = "inventory.caption.item.bottle_2.6", value = "Magic Bottle$(Fairy)" }
text{ key = "inventory.caption.item.bottle_3.1", value = "Magic Bottle$(Empty)" }
text{ key = "inventory.caption.item.bottle_3.2", value = "Magic Bottle$(Water)" }
text{ key = "inventory.caption.item.bottle_3.3", value = "Magic Bottle$(Red Potion)" }
text{ key = "inventory.caption.item.bottle_3.4", value = "Magic Bottle$(Green Potion)" }
text{ key = "inventory.caption.item.bottle_3.5", value = "Magic Bottle$(Blue Potion)" }
text{ key = "inventory.caption.item.bottle_3.6", value = "Magic Bottle$(Fairy)" }
text{ key = "inventory.caption.item.bow.1", value = "Bow" }
text{ key = "inventory.caption.item.bow.2", value = "Bow & Arrows" }
text{ key = "inventory.caption.item.croissants_counter.1", value = "French Croissants" }
text{ key = "inventory.caption.item.cuillere_counter.1", value = "Spoons" }
text{ key = "inventory.caption.item.feather.1", value = "Roc Feather" }
text{ key = "inventory.caption.item.glove.1", value = "Iron Glove" }
text{ key = "inventory.caption.item.hache_counter.1", value = "Axe" }
text{ key = "inventory.caption.item.parfum_counter.1", value = "Perfume" }
text{ key = "inventory.caption.item.pegasus_shoes.1", value = "Pegasus Shoes" }
text{ key = "inventory.caption.item.poivron_counter.1", value = "Peppers" }
text{ key = "inventory.caption.item.roc_magma_counter.1", value = "Magma rocks" }
text{ key = "inventory.caption.item.sac_olive_counter.1", value = "Sacks of olives" }
text{ key = "inventory.caption.item.sac_riz_counter.1", value = "Bags of rice" }
text{ key = "inventory.caption.item.tapisserie_counter.1", value = "Tapestries" }
text{ key = "map.caption.dungeon_name_1", value = "Temple of$Stupidities" }
text{ key = "map.caption.dungeon_name_2", value = "Lost and$Found Office" }
text{ key = "map.caption.world_map", value = "World Map" }
text{ key = "options.caption.press_action_change_mode", value = "Press Action to$switch video mode" }
text{ key = "options.caption.press_action_customize_key", value = "Press Action to$configure this key" }
text{ key = "options.caption.press_key", value = "Press any key on$the keyboard or joypad" }
text{ key = "options.command.action", value = "Action" }
text{ key = "options.command.attack", value = "Sword" }
text{ key = "options.command.down", value = "Down" }
text{ key = "options.command.item_1", value = "Left Item" }
text{ key = "options.command.item_2", value = "Right Item" }
text{ key = "options.command.left", value = "Left" }
text{ key = "options.command.pause", value = "Pause" }
text{ key = "options.command.right", value = "Right" }
text{ key = "options.command.up", value = "Up" }
text{ key = "options.commands_column", value = "Controls" }
text{ key = "options.joypad_column", value = "Joypad" }
text{ key = "options.keyboard_column", value = "Keyboard" }
text{ key = "options.video.fullscreen", value = "Fullscreen" }
text{ key = "options.video.windowed", value = "Windowed" }
text{ key = "quest_status.caption.bomb_bag_1", value = "Bomb Bag" }
text{ key = "quest_status.caption.bomb_bag_2", value = "Big$Bomb Bag" }
text{ key = "quest_status.caption.bomb_bag_3", value = "Huge$Bomb Bag" }
text{ key = "quest_status.caption.pieces_of_heart", value = "Pieces of Heart" }
text{ key = "quest_status.caption.quiver_1", value = "Quiver" }
text{ key = "quest_status.caption.quiver_2", value = "Bigger Quiver" }
text{ key = "quest_status.caption.quiver_3", value = "Biggest Quiver" }
text{ key = "quest_status.caption.rupee_bag_1", value = "Rupee Bag" }
text{ key = "quest_status.caption.rupee_bag_2", value = "Big$Rupee Bag" }
text{ key = "quest_status.caption.rupee_bag_3", value = "Huge$Rupee Bag" }
text{ key = "quest_status.caption.shield_1", value = "Shield" }
text{ key = "quest_status.caption.shield_2", value = "Fire Shield" }
text{ key = "quest_status.caption.shield_3", value = "Mirror Shield" }
text{ key = "quest_status.caption.sword_1", value = "Training Sword" }
text{ key = "quest_status.caption.sword_2", value = "Laser Sword" }
text{ key = "quest_status.caption.sword_3", value = "Sword not found" }
text{ key = "quest_status.caption.sword_4", value = "Excalibur" }
text{ key = "quest_status.caption.tunic_1", value = "Green$Mail" }
text{ key = "quest_status.caption.tunic_2", value = "Blue$Mail" }
text{ key = "quest_status.caption.tunic_3", value = "Red$Mail" }
text{ key = "quest_status.caption.world_map", value = "World Map" }
text{ key = "save_dialog.continue_question_0", value = "Would you like to keep" }
text{ key = "save_dialog.continue_question_1", value = "playing?" }
text{ key = "save_dialog.no", value = "No" }
text{ key = "save_dialog.save_question_0", value = "Would you like to" }
text{ key = "save_dialog.save_question_1", value = "save your game?" }
text{ key = "save_dialog.yes", value = "Yes" }
text{ key = "selection_menu.back", value = "Back" }
text{ key = "selection_menu.big_no", value = "NOO!!" }
text{ key = "selection_menu.big_yes", value = "YEAH!!" }
text{ key = "selection_menu.cancel", value = "Cancel" }
text{ key = "selection_menu.empty", value = "Empty" }
text{ key = "selection_menu.erase", value = "Erase" }
text{ key = "selection_menu.options", value = "Options" }
text{ key = "selection_menu.options.language", value = "Language" }
