# Language: Spanish

# This file contains the strings displayed during the game in the current language.
# Each line represents a string, representing by its key and then its value.
# The key and the value are separated by one or several tabulation characters.
# The key cannot contain whitespaces and cannot be changed. Only the value has to be translated.
# This file must be encoded in UTF-8.

# The strings having a key with "caption" are displayed
# in the caption text area of the pause menu. They can have one or two lines
# (separated by the '$' character) and a line should never exceed 20 characters.
# For all other strings, the maximum length is indicated in the comments below.

# Map submenu
map.caption.world_map			Mapa del Mundo
map.caption.dungeon_name_1		Templo de las$Estupideces
map.caption.dungeon_name_2		Oficina de$Objetos Perdidos

# Quest status submenu
quest_status.caption.rupee_bag_1	Bolsa de Rupias
quest_status.caption.rupee_bag_2	Bolsa de Rupias$Grande
quest_status.caption.rupee_bag_3	Bolsa de Rupias$Gigante
quest_status.caption.bomb_bag_1		Saco de Bombas
quest_status.caption.bomb_bag_2		Saco de Bombas$Grande
quest_status.caption.bomb_bag_3		Saco de Bombas$Gigante
quest_status.caption.quiver_1		Carcaj
quest_status.caption.quiver_2		Carcaj Grande
quest_status.caption.quiver_3		Carcaj Gigante
quest_status.caption.world_map		Mapa del Mundo
quest_status.caption.pieces_of_heart	Piezas de Corazón
quest_status.caption.tunic_1		Túnica Verde
quest_status.caption.tunic_2		Túnica Azul
quest_status.caption.tunic_3		Túnica Roja
quest_status.caption.sword_1		Espada de Entrenamiento
quest_status.caption.sword_2		Espada Láser
quest_status.caption.sword_3		Espada no encontrada
quest_status.caption.sword_4		Excalibur
quest_status.caption.shield_1		Escudo
quest_status.caption.shield_2		Escudo de Fuego
quest_status.caption.shield_3		Escudo Espejo

# Inventory submenu
inventory.caption.item.feather.1			Pluma
inventory.caption.item.bombs_counter.1			Bombas
inventory.caption.item.bow.1				Arco
inventory.caption.item.bow.2				Arco y Flechas
inventory.caption.item.croissants_counter.1		Croissants Franceses
inventory.caption.item.pegasus_shoes.1			Botas de Pegaso
inventory.caption.item.bone_key.1			Llave de Hueso
inventory.caption.item.bottle_1.1			Botella Mágica$(Vacía)
inventory.caption.item.bottle_1.2			Botella Mágica$(Agua)
inventory.caption.item.bottle_1.3			Botella Mágica$(Poción Roja)
inventory.caption.item.bottle_1.4			Botella Mágica$(Poción Verde)
inventory.caption.item.bottle_1.5			Botella Mágica$(Poción Azul)
inventory.caption.item.bottle_1.6			Botella Mágica$(Hada)

inventory.caption.item.sac_riz_counter.1		Sacos de Arroz
inventory.caption.item.sac_olive_counter.1		Sacos de Olivas
inventory.caption.item.bocal_epice_counter.1		Tarro de Especia
inventory.caption.item.hache_counter.1			Hacha
inventory.caption.item.parfum_counter.1			Perfume
inventory.caption.item.glove.1				Guantes de Hierro
inventory.caption.item.bottle_2.1			Botella Mágica$(Vacía)
inventory.caption.item.bottle_2.2			Botella Mágica$(Agua)
inventory.caption.item.bottle_2.3			Botella Mágica$(Poción Roja)
inventory.caption.item.bottle_2.4			Botella Mágica$(Poción Verde)
inventory.caption.item.bottle_2.5			Botella Mágica$(Poción Azul)
inventory.caption.item.bottle_2.6			Botella Mágica$(Hada)

inventory.caption.item.poivron_counter.1		Pimienta
inventory.caption.item.balai_counter.1			Escobas
inventory.caption.item.cuillere_counter.1		Cucharas
inventory.caption.item.apple_pie_counter.1		Pastel de Manzana
inventory.caption.item.tapisserie_counter.1		Tapices
inventory.caption.item.roc_magma_counter.1		Rocas de Magma
inventory.caption.item.bottle_3.1			Botella Mágica$(Vacía)
inventory.caption.item.bottle_3.2			Botella Mágica$(Agua)
inventory.caption.item.bottle_3.3			Botella Mágica$(Poción Roja)
inventory.caption.item.bottle_3.4			Botella Mágica$(Poción Verde)
inventory.caption.item.bottle_3.5			Botella Mágica$(Poción Azul)
inventory.caption.item.bottle_3.6			Botella Mágica$(Hada)

# Options submenu
options.caption.press_action_change_mode	Pulsa Acción para$otro modo de vídeo
options.caption.press_action_customize_key	Pulsa Acción para$configurar tecla
options.caption.press_key			Pulsa alguna tecla$del teclado o mando
# names of video modes (maximum 26 characters)
options.video_mode.windowed_stretched		Ventana 640x480
options.video_mode.windowed_scale2x		Ventana 640x480 suavizado
options.video_mode.windowed_normal		Ventana 320x240
options.video_mode.fullscreen_normal		Pantalla completa estirada
options.video_mode.fullscreen_wide		Pant comp estirada(grande)
options.video_mode.fullscreen_scale2x		Pant completa suavizada
options.video_mode.fullscreen_scale2x_wide	Pant comp suavizad(grande)
# column headers of the keyboard/joypad customization table (maximum 10 characters)
options.commands_column				Controles
options.keyboard_column				Teclado
options.joypad_column				Mando

# Game controls customization (maximum 10 characters)
options.command.action		Acción
options.command.attack		Espada
options.command.item_1		Item Izq
options.command.item_2		Item Der
options.command.pause		Pausa
options.command.right		Derecha
options.command.up		Arriba
options.command.left		Izquierda
options.command.down		Abajo

# Dialog to save the game
save_dialog.yes			Sí
save_dialog.no			No
save_dialog.save_question_0	¿Te gustaría
save_dialog.save_question_1	guardar la partida?
save_dialog.continue_question_0	¿Te gustaría
save_dialog.continue_question_1	seguir jugando?

# Savegame selection menu (with maximum 45 characters for phase titles)
selection_menu.phase.select_file	Selecciona un archivo
selection_menu.phase.choose_mode	Escoge un modo de juego
