# Language: French

# This file contains the strings displayed during the game in the current language.
# Each line represents a string, representing by its key and then its value.
# The key and the value are separated by one or several tabulation characters.
# The key cannot contain whitespaces and cannot be changed. Only the value has to be translated.
# This file must be encoded in UTF-8.

# The strings having a key with "caption" are displayed
# in the caption text area of the pause menu. They can have one or two lines
# (separated by the '$' character) and a line should never exceed 20 characters.
# For all other strings, the maximum length is indicated in the comments below.

# Map submenu
map.caption.world_map			Carte du Monde
map.caption.dungeon_name_1		Temple des$Stupidités
map.caption.dungeon_name_2		Bureau des$Objets Trouvés

# Quest status submenu
quest_status.caption.rupee_bag_1	Sac de Rubis
quest_status.caption.rupee_bag_2	Grand$Sac de Rubis
quest_status.caption.rupee_bag_3	Sac de Rubis$Géant
quest_status.caption.bomb_bag_1		Sac de Bombes
quest_status.caption.bomb_bag_2		Grand$Sac de Bombes
quest_status.caption.bomb_bag_3		Sac de Bombes$Géant
quest_status.caption.quiver_1		Carquois
quest_status.caption.quiver_2		Grand Carquois
quest_status.caption.quiver_3		Carquois Géant
quest_status.caption.world_map		Carte du Monde
quest_status.caption.pieces_of_heart	Fragments de Coeur
quest_status.caption.tunic_1		Cotte de Mailles$verte
quest_status.caption.tunic_2		Cotte de Mailles$bleue
quest_status.caption.tunic_3		Cotte de Mailles$rouge
quest_status.caption.sword_1		Epée d'entraînement
quest_status.caption.sword_2		Sabre laser
quest_status.caption.sword_3		Épée inexistante
quest_status.caption.sword_4		Excalibur
quest_status.caption.shield_1		Bouclier
quest_status.caption.shield_2		Bouclier de Feu
quest_status.caption.shield_3		Miroir Magique

# Inventory submenu
inventory.caption.item.feather.1			Plume de Dodo
inventory.caption.item.bombs_counter.1			Bombes
inventory.caption.item.bow.1				Arc
inventory.caption.item.bow.2				Arc & Flèches
inventory.caption.item.croissants_counter.1		Croissants
inventory.caption.item.pegasus_shoes.1			Bottes de Pégase
inventory.caption.item.bone_key.1			Clé d'Os
inventory.caption.item.bottle_1.1			Flacon Magique$(Vide)
inventory.caption.item.bottle_1.2			Flacon Magique$(Eau)
inventory.caption.item.bottle_1.3			Flacon Magique$(Potion rouge)
inventory.caption.item.bottle_1.4			Flacon Magique$(Potion verte)
inventory.caption.item.bottle_1.5			Flacon Magique$(Potion blue)
inventory.caption.item.bottle_1.6			Flacon Magique$(Fée)

inventory.caption.item.sac_riz_counter.1		Sacs de riz
inventory.caption.item.sac_olive_counter.1		Sacs d'olives
inventory.caption.item.bocal_epice_counter.1	Bocal d'épices
inventory.caption.item.hache_counter.1			Haches
inventory.caption.item.parfum_counter.1			Parfums
inventory.caption.item.glove.1				Poigne de Fer
inventory.caption.item.bottle_2.1			Flacon Magique$(Vide)
inventory.caption.item.bottle_2.2			Flacon Magique$(Eau)
inventory.caption.item.bottle_2.3			Flacon Magique$(Potion rouge)
inventory.caption.item.bottle_2.4			Flacon Magique$(Potion verte)
inventory.caption.item.bottle_2.5			Flacon Magique$(Potion blue)
inventory.caption.item.bottle_2.6			Flacon Magique$(Fée)

inventory.caption.item.poivron_counter.1		Poivrons
inventory.caption.item.balai_counter.1			Balais
inventory.caption.item.cuillere_counter.1		Cuillères
inventory.caption.item.apple_pie_counter.1		Tarte aux Pommes
inventory.caption.item.tapisserie_counter.1		Tapisseries
inventory.caption.item.roc_magma_counter.1		Rocs magma
inventory.caption.item.bottle_3.1			Flacon Magique$(Vide)
inventory.caption.item.bottle_3.2			Flacon Magique$(Eau)
inventory.caption.item.bottle_3.3			Flacon Magique$(Potion rouge)
inventory.caption.item.bottle_3.4			Flacon Magique$(Potion verte)
inventory.caption.item.bottle_3.5			Flacon Magique$(Potion bleue)
inventory.caption.item.bottle_3.6			Flacon Magique$(Fée)



# Options submenu
options.caption.press_action_change_mode	Appuyez sur Action$pour changer de mode
options.caption.press_action_customize_key	Appuyez sur Action pour$configurer cette touche
options.caption.press_key			Appuyez sur une touche$du clavier ou du joypad
# names of video modes (maximum 26 characters)
options.video_mode.windowed_stretched				Fenêtre 640x480
options.video_mode.windowed_scale2x				Fenêtre 640x480 lisse
options.video_mode.windowed_normal				Fenêtre 320x240
options.video_mode.fullscreen_normal				Plein écran étiré
options.video_mode.fullscreen_wide				Plein écran étiré (large)
