map{ id = "0", description = "Link's house" }
map{ id = "1", description = "Outside fields NO" }
map{ id = "2", description = "Outside fields NE" }
map{ id = "3", description = "Outside fields SO" }
map{ id = "4", description = "Outside fields SE" }
map{ id = "5", description = "Maison du boulet" }
map{ id = "6", description = "Maison des pots" }
map{ id = "7", description = "Magasin débile" }
map{ id = "8", description = "Caverne du coffre débile" }
map{ id = "9", description = "Geek House" }
map{ id = "10", description = "Humid house" }
map{ id = "11", description = "Shop" }
map{ id = "12", description = "Link's cave" }
map{ id = "13", description = "Before the cursed cave" }
map{ id = "14", description = "Desert small house" }
map{ id = "15", description = "Desert west house" }
map{ id = "16", description = "Desert east house" }
map{ id = "17", description = "The end" }
map{ id = "20", description = "Crazy House 1FA" }
map{ id = "21", description = "Crazy House 1FB" }
map{ id = "22", description = "Crazy House 2FA" }
map{ id = "23", description = "Crazy House 2FB" }
map{ id = "24", description = "Crazy House 3F" }
map{ id = "38", description = "Freaking_cave_1" }
map{ id = "39", description = "Freaking_cave_2" }
map{ id = "42", description = "Caverne des fragments de coeur" }
map{ id = "43", description = "Caverne Maudite 0" }
map{ id = "44", description = "Caverne Maudite -1" }
map{ id = "45", description = "Caverne Maudite -2" }
map{ id = "46", description = "Caverne Maudite -3" }
map{ id = "47", description = "Caverne Maudite -4" }
map{ id = "48", description = "Caverne Maudite -5" }
map{ id = "49", description = "Caverne Maudite -6" }
map{ id = "50", description = "Caverne Maudite -7" }
map{ id = "51", description = "Caverne Maudite -8" }
map{ id = "52", description = "Caverne Maudite -9" }
map{ id = "53", description = "Caverne Maudite -10" }
map{ id = "54", description = "Caverne Maudite -11" }
map{ id = "55", description = "Caverne Maudite -12" }
map{ id = "56", description = "Caverne Maudite -13" }
map{ id = "57", description = "Caverne Maudite -14" }
map{ id = "58", description = "Caverne Maudite -15" }
map{ id = "59", description = "Caverne Maudite -16" }
map{ id = "60", description = "Dungeon 1F NW" }
map{ id = "61", description = "Dungeon 1F NE" }
map{ id = "62", description = "Dungeon 1F SW" }
